RecordedDate,Q2.12,Q2.15,Q2.14,Q2.4,Q2.6,Q2.2,Q2.1,Q35.1,Q35.2,Q35.4,Q37.4,Q37.3,Q38.3,Q38.6,Q38.10,Q2.13
2021-04-07 20:34:32,Student,Democrat,Some college,Asian,United States of America,Cisgender Man,2000,Strongly agree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-07 20:35:09,Student,Democrat,No college,Non-Hispanic White,United States of America,Cisgender Man,2002,Somewhat disagree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-07 20:36:24,Student,Independent,No college,Non-Hispanic White,United States of America,Cisgender Woman,2002,Somewhat agree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,
2021-04-07 20:36:57,Employed full time,,,Non-Hispanic White,United States of America,Cisgender Woman,1989,,,,,,,,,"$10,000 - $19,999"
2021-04-07 20:36:57,Unemployed looking for work,Democrat,Some college,Non-Hispanic White,United States of America,Cisgender Woman,2000,Somewhat agree,No,No,,,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-07 20:37:17,Employed full time,Republican,Some college,Non-Hispanic White,United States of America,Cisgender Man,1987,,,,,,,,,"$40,000 - $49,999"
2021-04-07 20:37:18,,,,Non-Hispanic White,United States of America,Cisgender Woman,1983,,,,,,,,,
2021-04-07 20:37:56,Employed full time,Other,Bachelor's degree,Asian,United States of America,Cisgender Woman,1999,Somewhat agree,No,Yes,,,Strongly agree,Definitely yes,Somewhat agree,"Less than $10,000"
2021-04-07 20:37:57,Student,Prefer not to say,Bachelor's degree,Asian,Canada,Cisgender Woman,2002,Strongly agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-07 20:39:04,Student,Democrat,Some college,Non-Hispanic White,United States of America,Cisgender Woman,1999,,,,,,,,,
2021-04-07 20:40:49,Student,Prefer not to say,Bachelor's degree,Asian,United States of America,Cisgender Woman,1999,Neither agree nor disagree,No,No,,,Strongly agree,Might or might not,Somewhat agree,"$20,000 - $29,999"
2021-04-07 20:40:54,,,,,,,,,,,,,,,,
2021-04-07 20:42:06,Student,Democrat,Some college,Black or African American,United States of America,Cisgender Woman,1999,Somewhat agree,No,Yes,,,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-07 20:43:30,Student,Other,No college,Non-Hispanic White,United States of America,Cisgender Woman,1993,Neither agree nor disagree,Yes,Yes,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-07 20:44:40,Student,Democrat,No college,Asian,United States of America,Cisgender Woman,2000,Neither agree nor disagree,No,Yes,,,Strongly agree,Definitely yes,Strongly agree,
2021-04-07 20:44:43,Unemployed looking for work,Socialist,Some college,Non-Hispanic White,United States of America,Cisgender Woman,1999,Somewhat disagree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-07 20:45:30,Employed full time,Prefer not to say,"Advanced degree (Master's, Doctorate)",Asian,United States of America,Cisgender Woman,1997,Somewhat agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Somewhat agree,Probably yes,Somewhat agree,"$20,000 - $29,999"
2021-04-07 20:47:47,Student,Prefer not to say,Bachelor's degree,Asian,Singapore,Cisgender Woman,2000,Somewhat agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-07 20:50:19,Employed part time,Democrat,Some college,Asian,United States of America,Cisgender Woman,1999,Strongly agree,No,Yes,Someone body-slammed her and kicked her dog,Nurse,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-07 20:53:22,Student,Democrat,No college,Asian,United States of America,Cisgender Woman,2000,Somewhat disagree,No,Yes,,,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-07 20:55:33,Student,Socialist,Some college,Asian,United States of America,Cisgender Woman,2002,Strongly disagree,No,No,,,Strongly agree,Definitely yes,Strongly agree,"Less than $10,000"
2021-04-07 20:56:06,Student,Prefer not to say,Bachelor's degree,Asian,,Cisgender Woman,1999,Somewhat agree,No,No,,,Strongly agree,Definitely yes,Strongly agree,
2021-04-07 20:56:23,Student,Democrat,Some college,Asian,United States of America,Cisgender Woman,2000,Somewhat agree,No,Yes,,,Strongly agree,Definitely yes,Somewhat agree,"Less than $10,000"
2021-04-07 20:57:39,Student,Other,No college,Hispanic or Latino,United States of America,Cisgender Woman,19996,Neither agree nor disagree,Yes,Yes,,,Strongly agree,Definitely yes,Strongly agree,
2021-04-07 20:58:06,Employed part time,Other,Some college,Hispanic or Latino,United States of America,Cisgender Man,2001,Somewhat agree,No,Yes,,,Strongly agree,Probably yes,Somewhat agree,"Less than $10,000"
2021-04-07 20:58:58,Employed part time,Independent,Bachelor's degree,Asian,United States of America,Cisgender Woman,2000,Strongly agree,No,No,Someone spit on her,Chef,Strongly agree,Definitely yes,Neither agree nor disagree,
2021-04-07 20:59:28,Unemployed looking for work,Independent,Some college,Non-Hispanic White,United States of America,Cisgender Woman,1999,Strongly agree,No,No,Someone body-slammed her and kicked her dog,Nurse,Somewhat agree,Probably yes,Somewhat agree,"Less than $10,000"
2021-04-07 20:59:41,,,,Non-Hispanic White,United States of America,Cisgender Woman,1953,,,,,,,,,
